,COMPANY_ID,predicted_refund_risk,recommended_collateral_pct
0,527ebb1db090f2cc4c00035d,0.2098663,0.1
1,52a7342b697df18c89000ec7,0.20484881,0.1
2,52df2956840d2e897c000fbf,0.10686924,0.1
3,532decf83237c56b3f000329,0.122445874,0.1
4,5335e2fd137e79d87e000142,0.7631195,0.5
5,535f5c503237c5f30c000539,0.3753151,0.1
8,53a1379e3237c51801000a55,0.10287481,0.1
9,53aedb0a3237c5c8ea0004f1,0.09535432,0.1
10,53c22bb03237c5ad59000dd3,0.28693447,0.1
13,541b2082a681d9032c00006f,0.08705781,0.1
14,541b21af3387f2a2df000048,0.25486884,0.1
15,541f1c09e88b02304b000049,0.9828637,0.5
16,5429f2a30611af0b5f00004a,0.3379556,0.1
17,542afbb56b157ac8810000f1,0.10130891,0.1
18,542dcbe76d9b94a0ee0001a4,0.13891838,0.1
19,543eea919e355bc52a0001e7,0.9856338,0.5
20,54401003b048d37b7f00025e,0.30186933,0.1
21,5441503043f1776514000356,0.659989,0.35000000000000003
22,54415c1943f177651400050f,0.3297475,0.1
23,544183dadc3ad73320000049,0.8353451,0.5
24,5446c683147315332900069f,0.16474333,0.1
25,544966f205f06c193300016b,0.1723092,0.1
26,5449825a05f06c28860001b7,0.46344036,0.5
27,544bd1fe583e37b9430005cc,0.52950114,0.5
28,544ff8c2ef758b1d2e000470,0.17402509,0.1
30,545955922fdbe2c399000427,0.12309368,0.1
33,545d58316228c21ea80006b2,0.18140349,0.1
34,5463eb3899ce8bb0910002e3,0.19154358,0.1
35,546517bbee12feb682000379,0.25360385,0.1
36,54667af983a7927dfc0002e2,0.72152466,0.5
37,54699ef43b09c1081f0001fe,0.16622342,0.1
38,546d171e42c331e207000f04,0.4277819,0.15000000000000002
39,546d17f842c331e207000f65,0.34026513,0.1
41,546f856b281182071c0000d8,0.28483063,0.1
42,5480d69b0d19b4243f0000e5,0.26954463,0.1
43,5480e0270d19b4e9160005b3,0.45745715,0.15000000000000002
44,548746303189d1dfae00009f,0.5467201,0.25
45,5488c9cec512527c6e000624,0.25658792,0.1
46,548a20dc243891fb1300013b,0.39062762,0.1
47,548b78ba0a4e2061f3000101,0.38399798,0.1
48,5491e82599da250aad00036a,0.20228796,0.1
49,5493127d3fe563bcea0000c6,0.3123458,0.1
50,5494b006115a0e91a400010c,0.5308553,0.5
51,549a2e041ca871302e00028f,0.40348306,0.1
52,54aecc0a81268f288200017b,0.4266378,0.15000000000000002
53,54aeea5781268f61920002c0,0.53116465,0.25
54,54b055048a294123390000cc,0.10733676,0.1
55,54b449820423de54b70000a5,0.108509265,0.1
56,54b70a0d2615f3bca3000139,0.6743005,0.5
57,54b97eed32b38fb7ae00004f,0.5277835,0.5
58,54c1c4c08f32c7c32800016d,0.14500497,0.1
59,54c68ddffdb33431460000ad,0.23383388,0.1
60,54c822b0780bc0a2050001ef,0.32581404,0.1
61,54c9695fcc7d382c8f000248,0.99619544,0.5
62,54ca74e7a7ed02e3a7000258,0.79404867,0.5
63,54ca7ccb24a8eed23e000060,0.43637547,0.5
65,54cfd05bd51039811a0000bb,0.17972617,0.1
66,54cff1c2518206899100010a,0.192292,0.1
